coID,sales,inventory,cum_inventory,Cum_Stratum,E_Stratum_3,Cum_fy_Stratum
1583,150047.9673,164862.4569,411423521.7,3,4,5
3093,64839.06096,164905.5438,411588427.2,3,4,5
1249,151521.1065,165067.057,411753494.3,3,4,5
2732,57618.06239,165244.6773,411918738.9,3,4,5
1202,155135.3031,165291.9518,412084030.9,3,4,5
1184,136981.7197,165338.999,412249369.9,3,4,5
2559,63812.15318,165340.4135,412414710.3,3,4,5
1043,150391.8778,165371.8265,412580082.1,3,4,5
3357,58975.24395,165502.1986,412745584.3,3,4,5
4138,134052.9105,165587.2832,412911171.6,3,4,5
1173,124505.2573,165606.2587,413076777.9,3,4,5
1269,143995.5283,165640.9559,413242418.8,3,4,5
1291,163055.1218,165642.9765,413408061.8,3,4,5
1233,139013.1276,165656.5434,413573718.4,3,4,5
1106,178863.6151,165705.5767,413739423.9,3,4,5
4012,146495.3669,165867.7718,413905291.7,3,4,5
1079,130452.424,166014.3219,414071306,3,4,5
1429,173246.6527,166044.0973,414237350.1,3,4,5
4143,150396.8092,166250.119,414403600.2,3,4,5
1211,145301.6362,166294.0699,414569894.3,3,4,5
531,995764.006,166296.4755,414736190.8,3,4,5
2207,70676.57287,166356.5798,414902547.4,3,4,5
1765,161196.635,166417.0382,415068964.4,3,4,5
2031,554317.8175,166591.6465,415235556.1,3,4,5
1092,176161.1591,166608.1727,415402164.2,3,4,5
1254,160101.0157,166824.9181,415568989.1,3,4,5
1846,196217.7723,166940.8544,415735930,3,4,5
1183,152882.2001,166971.0732,415902901.1,3,4,5
32,52384.553,167023.3822,416069924.5,3,4,5
1080,129188.1455,167024.699,416236949.1,3,4,5
1056,120261.9086,167040.6429,416403989.8,3,4,5
1400,157716.8261,167210.1585,416571200,3,4,5
788,325871.1333,167211.5405,416738411.5,3,4,5
4153,145846.6326,167281.7239,416905693.2,3,4,5
1724,133854.8834,167299.4531,417072992.7,3,4,5
4149,156772.9941,167344.0176,417240336.7,3,4,5
1643,104575.4649,167405.4235,417407742.1,3,4,5
1566,174485.8274,167482.5542,417575224.7,3,4,5
1968,478106.0315,167506.2638,417742730.9,3,4,5
1757,167729.1318,167513.852,417910244.8,3,4,5
1755,189190.908,167570.2934,418077815.1,3,4,5
1987,441630.7184,167741.1877,418245556.3,3,4,5
719,95087.58087,167826.1393,418413382.4,3,4,5
2300,76611.94187,167923.0201,418581305.4,3,4,5
2389,53236.46706,167930.4246,418749235.8,3,4,5
2236,152680.5463,168076.6795,418917312.5,3,4,5
1042,147833.3417,168199.2624,419085511.8,3,4,5
2362,216235.7621,168312.7195,419253824.5,3,4,5
1600,143901.1807,168394.8075,419422219.3,3,4,5
1397,171355.3864,168405.2754,419590624.6,3,4,5
1071,156035.7739,168413.6162,419759038.2,3,4,5
1424,164833.8177,168634.0435,419927672.2,3,4,5
1937,540713.3185,168645.9096,420096318.2,3,4,5
1090,167192.1934,168726.1129,420265044.3,3,4,5
3242,97153.72096,168760.138,420433804.4,3,4,5
1336,125339.8227,169168.4504,420602972.9,3,4,5
1085,148539.8882,169169.812,420772142.7,3,4,5
1253,168818.1292,169217.0165,420941359.7,3,4,5
1065,164851.0348,169327.4402,421110687.1,3,4,5
1244,140842.7202,169473.246,421280160.4,3,4,5
1226,111107.3545,169524.6458,421449685,3,4,5
1769,257727.0288,169580.1706,421619265.2,3,4,5
1736,174480.8602,169599.2413,421788864.4,3,4,5
1035,150400.3168,169642.4583,421958506.9,3,4,5
1401,149758.6558,169673.0101,422128179.9,3,4,5
1210,161315.7982,169878.3345,422298058.2,3,4,5
2067,38261.43139,169907.7117,422467965.9,3,4,5
1238,161144.4669,170026.4829,422637992.4,3,4,5
2914,44335.63932,170078.9568,422808071.4,3,4,5
3180,40961.56351,170084.8457,422978156.2,3,4,5
2582,60969.76348,170121.4021,423148277.6,3,4,5
2957,29153.28306,170145.3316,423318423,3,4,5
1560,138370.1114,170189.6398,423488612.6,3,4,5
1205,171954.2583,170274.2237,423658886.8,3,4,5
1234,121110.0702,170291.0175,423829177.8,3,4,5
1840,181602.2086,170333.2363,423999511.1,3,4,5
1075,157184.8776,170472.4624,424169983.5,3,4,5
